Bus_Delay,Event_Date,Occurred_On,Informed_On,Reaction_Time,Students_Number,School_Year,School_Level,Delay_Reason,Delay_Result,Boro,Route_Number,Bus_Company,Bus_Number,Bus_Run_Type,OPT_Alerted,Schools_Notified,Parents_Notified
17,2016-02-22,07:50:00,07:56:00,0 days 00:06:00.000000000,7,1,2,7,2,3,4565,11,161,7,1,1,1
30,2017-02-16,07:18:00,07:19:00,0 days 00:01:00.000000000,2,2,1,4,2,3,129,19,3991,4,0,1,1
15,2015-09-28,06:36:00,06:44:00,0 days 00:08:00.000000000,0,1,2,4,2,3,4221,44,146,7,0,1,0
23,2018-03-28,06:52:00,06:53:00,0 days 00:01:00.000000000,0,3,2,4,2,3,4556,55,1723,7,1,1,1
15,2016-05-03,07:50:00,07:50:00,0 days 00:00:00.000000000,5,1,2,4,2,12,4096,35,2323,7,0,0,0
38,2019-01-03,06:36:00,06:37:00,0 days 00:01:00.000000000,0,4,2,3,2,3,4243,55,1696,7,1,1,1
25,2016-01-26,07:30:00,07:39:00,0 days 00:09:00.000000000,11,1,2,4,2,4,428,7,2128,7,0,1,1
38,2018-03-26,14:04:00,14:04:00,0 days 00:00:00.000000000,0,3,2,4,2,6,2088,27,733,9,0,1,1
15,2015-11-30,14:15:00,14:18:00,0 days 00:03:00.000000000,0,1,2,4,2,6,1971,27,578,7,0,1,0
53,2019-03-12,07:45:00,08:35:00,0 days 00:50:00.000000000,9,4,2,8,2,4,1157,57,554,7,0,1,0
20,2016-02-26,06:50:00,06:52:00,0 days 00:02:00.000000000,0,1,2,4,2,6,2248,47,2631,7,1,1,1
23,2018-01-17,06:30:00,07:03:00,0 days 00:33:00.000000000,0,3,2,4,2,3,4367,32,1842,1,0,1,1
10,2017-03-16,15:33:00,15:38:00,0 days 00:05:00.000000000,0,2,1,9,2,3,46,19,3982,4,0,1,1
0,2018-04-12,06:36:00,06:39:00,0 days 00:03:00.000000000,0,3,2,10,1,3,4784,30,3273,7,0,1,1
15,2016-01-15,07:06:00,07:07:00,0 days 00:01:00.000000000,2,1,2,4,2,1,1508,47,272,7,1,1,1
