Bus_Delay,Event_Date,Occurred_On,Informed_On,Reaction_Time,Students_Number,School_Year,School_Level,Delay_Reason,Delay_Result,Boro,Route_Number,Bus_Company,Bus_Number,Bus_Run_Type,OPT_Alerted,Schools_Notified,Parents_Notified
7,2018-03-14,07:17:00,07:19:00,0 days 00:02:00.000000000,3,3,1,4,2,2,310,12,366,4,0,1,1
53,2018-10-19,14:20:00,14:25:00,0 days 00:05:00.000000000,0,4,2,4,2,5,543,27,765,9,0,1,0
30,2017-06-09,07:39:00,07:41:00,0 days 00:02:00.000000000,3,2,1,4,2,2,7,16,502,4,0,1,1
30,2016-01-22,14:01:00,14:02:00,0 days 00:01:00.000000000,0,1,2,4,2,7,569,27,764,9,0,1,1
23,2018-04-20,08:10:00,08:14:00,0 days 00:04:00.000000000,9,3,2,4,2,10,286,42,407,7,1,1,1
17,2016-12-12,07:45:00,07:50:00,0 days 00:05:00.000000000,5,2,2,7,2,4,369,11,293,7,1,0,1
38,2019-02-04,06:40:00,06:40:00,0 days 00:00:00.000000000,0,4,2,4,2,4,479,24,234,7,0,1,1
20,2016-09-19,06:10:00,06:16:00,0 days 00:06:00.000000000,0,2,2,10,2,10,949,12,854,7,1,1,1
38,2017-12-19,06:33:00,06:34:00,0 days 00:01:00.000000000,0,3,2,4,2,4,488,24,226,7,0,1,1
40,2015-09-25,07:13:00,07:23:00,0 days 00:10:00.000000000,2,1,2,7,2,3,76,36,877,7,0,1,1
38,2018-10-12,06:24:00,06:25:00,0 days 00:01:00.000000000,0,4,2,4,2,10,308,42,36,7,1,1,1
23,2019-02-13,06:45:00,06:46:00,0 days 00:01:00.000000000,2,4,2,4,2,7,679,14,263,1,0,1,1
25,2017-05-31,06:52:00,06:53:00,0 days 00:01:00.000000000,0,2,2,7,2,3,127,23,535,7,0,1,1
38,2018-10-24,14:13:00,14:14:00,0 days 00:01:00.000000000,0,4,2,5,2,3,74,36,216,9,0,1,0
38,2018-09-07,06:54:00,06:55:00,0 days 00:01:00.000000000,0,4,2,4,2,7,603,42,630,7,1,1,1
45,2017-03-28,07:28:00,07:29:00,0 days 00:01:00.000000000,4,2,2,4,2,3,167,36,886,7,0,1,1
23,2017-12-11,08:42:00,08:42:00,0 days 00:00:00.000000000,3,3,2,4,2,9,727,42,386,7,1,1,1
45,2017-01-06,15:34:00,15:48:00,0 days 00:14:00.000000000,12,2,1,7,2,3,37,23,613,4,1,1,1
20,2017-05-11,08:45:00,08:46:00,0 days 00:01:00.000000000,7,2,2,4,2,10,282,42,417,7,1,1,1
20,2017-05-16,07:30:00,07:31:00,0 days 00:01:00.000000000,0,2,1,4,2,2,33,16,801,4,0,1,1
60,2015-12-10,07:33:00,07:34:00,0 days 00:01:00.000000000,2,1,2,7,2,10,246,18,687,7,0,1,1
60,2017-03-15,07:26:00,07:27:00,0 days 00:01:00.000000000,0,2,2,9,2,2,827,39,45,7,0,1,0
25,2016-12-22,07:50:00,07:53:00,0 days 00:03:00.000000000,12,2,2,4,2,2,804,50,942,7,1,1,1
23,2017-12-22,08:14:00,08:18:00,0 days 00:04:00.000000000,8,3,2,4,2,7,594,42,616,7,1,1,1
38,2019-01-17,05:58:00,05:58:00,0 days 00:00:00.000000000,0,4,2,4,2,4,435,24,187,7,0,1,1
38,2017-12-07,15:44:00,15:45:00,0 days 00:01:00.000000000,0,3,2,4,2,7,683,39,375,1,0,1,0
10,2016-05-16,09:45:00,09:48:00,0 days 00:03:00.000000000,0,1,2,3,2,2,803,39,755,2,0,1,0
15,2015-10-09,07:10:00,08:32:00,0 days 01:22:00.000000000,3,1,2,4,2,10,581,1,111,7,1,1,1
75,2016-01-05,18:00:00,18:08:00,0 days 00:08:00.000000000,2,1,2,7,2,3,235,22,247,3,0,1,1
20,2017-05-23,13:30:00,13:31:00,0 days 00:01:00.000000000,0,2,2,5,2,3,223,9,464,3,0,1,0
25,2017-03-24,07:47:00,07:49:00,0 days 00:02:00.000000000,6,2,2,4,2,10,267,42,443,7,1,1,1
23,2019-03-01,06:31:00,06:32:00,0 days 00:01:00.000000000,0,4,2,5,2,3,243,7,273,7,0,1,1
23,2018-01-03,07:33:00,07:37:00,0 days 00:04:00.000000000,12,3,1,4,2,2,546,12,86,4,0,1,1
25,2015-11-12,08:21:00,08:27:00,0 days 00:06:00.000000000,10,1,1,4,2,2,32,16,5,4,1,1,1
38,2017-09-20,06:59:00,07:00:00,0 days 00:01:00.000000000,0,3,2,4,2,4,484,24,129,7,0,1,1
25,2017-01-04,07:46:00,07:47:00,0 days 00:01:00.000000000,6,2,2,4,2,9,723,42,350,7,1,1,1
25,2015-12-02,07:43:00,07:44:00,0 days 00:01:00.000000000,3,1,2,4,2,4,503,24,188,7,0,1,1
20,2016-04-04,08:20:00,08:24:00,0 days 00:04:00.000000000,10,1,1,4,2,2,11,16,548,4,0,1,1
7,2017-10-20,14:27:00,14:29:00,0 days 00:02:00.000000000,0,3,2,2,2,2,832,50,436,9,1,1,0
35,2017-01-04,06:19:00,06:20:00,0 days 00:01:00.000000000,0,2,2,4,2,3,87,36,881,7,0,0,0
75,2018-11-19,07:18:00,07:19:00,0 days 00:01:00.000000000,4,4,1,4,2,2,56,44,435,4,0,1,1
10,2016-05-06,07:35:00,07:48:00,0 days 00:13:00.000000000,8,1,2,4,2,7,651,19,93,7,1,1,1
23,2018-03-08,14:42:00,14:43:00,0 days 00:01:00.000000000,2,3,2,4,2,4,321,37,250,9,0,0,0
38,2017-12-18,05:30:00,06:05:00,0 days 00:35:00.000000000,0,3,2,4,2,7,291,48,923,7,1,0,1
53,2019-03-18,13:17:00,13:17:00,0 days 00:00:00.000000000,0,4,2,4,2,4,367,24,91,9,0,1,1
40,2017-04-28,14:40:00,14:50:00,0 days 00:10:00.000000000,4,2,2,5,2,3,124,36,883,9,0,1,1
17,2015-10-21,06:45:00,07:12:00,0 days 00:27:00.000000000,0,1,2,4,2,4,328,46,388,1,1,1,0
23,2017-12-01,08:00:00,08:49:00,0 days 00:49:00.000000000,0,3,1,4,2,3,47,23,681,4,1,1,1
38,2019-03-01,06:54:00,06:54:00,0 days 00:00:00.000000000,0,4,2,4,2,2,826,42,660,7,1,1,1
23,2017-10-26,02:35:00,14:36:00,0 days 12:01:00.000000000,0,3,2,4,2,7,681,19,209,9,0,1,1
38,2018-09-06,15:50:00,15:52:00,0 days 00:02:00.000000000,8,4,2,7,2,3,103,36,699,7,0,1,1
20,2015-11-10,07:54:00,07:55:00,0 days 00:01:00.000000000,5,1,2,4,2,5,542,27,774,7,0,0,1
38,2018-05-14,06:07:00,06:08:00,0 days 00:01:00.000000000,0,3,2,4,2,4,416,24,235,7,0,1,1
38,2018-06-01,07:05:00,07:06:00,0 days 00:01:00.000000000,0,3,2,4,2,7,614,41,741,1,0,0,0
10,2016-07-13,08:01:00,08:01:00,0 days 00:00:00.000000000,5,2,2,4,2,4,429,40,841,7,1,0,1
23,2017-12-13,06:20:00,06:28:00,0 days 00:08:00.000000000,0,3,2,10,2,7,290,48,922,7,0,0,1
