Bus_Delay,Event_Date,Occurred_On,Informed_On,Reaction_Time,Students_Number,School_Year,School_Level,Delay_Reason,Delay_Result,Boro,Route_Number,Bus_Company,Bus_Number,Bus_Run_Type,OPT_Alerted,Schools_Notified,Parents_Notified
38,2018-03-19,07:02:00,07:05:00,0 days 00:03:00.000000000,0,3,2,7,2,2,6942,55,5524,8,1,1,1
25,2015-10-21,07:45:00,07:46:00,0 days 00:01:00.000000000,4,1,1,7,2,2,207,18,6192,4,0,1,1
23,2018-10-09,06:59:00,07:04:00,0 days 00:05:00.000000000,14,4,2,4,2,3,1403,11,3204,8,0,1,1
38,2018-11-06,14:01:00,14:03:00,0 days 00:02:00.000000000,0,4,2,4,2,5,3331,26,1051,10,0,1,1
27,2016-03-08,06:30:00,06:45:00,0 days 00:15:00.000000000,0,1,2,4,2,2,7315,10,3307,8,1,1,1
23,2018-03-15,07:15:00,07:19:00,0 days 00:04:00.000000000,7,3,2,7,2,3,988,6,2251,8,0,1,1
38,2019-03-25,07:01:00,07:03:00,0 days 00:02:00.000000000,3,4,2,4,2,5,2645,26,896,8,0,1,1
38,2018-11-07,06:16:00,06:24:00,0 days 00:08:00.000000000,1,4,2,4,2,5,2628,26,1555,8,0,1,1
30,2016-01-26,07:48:00,07:50:00,0 days 00:02:00.000000000,1,1,1,9,2,2,91,18,6066,4,0,1,1
23,2018-11-05,14:30:00,14:31:00,0 days 00:01:00.000000000,0,4,2,4,2,10,6333,43,5473,1,0,1,0
38,2018-12-04,06:02:00,06:04:00,0 days 00:02:00.000000000,2,4,2,4,2,5,3810,26,670,8,0,1,1
38,2018-03-16,13:32:00,13:33:00,0 days 00:01:00.000000000,0,3,2,4,2,5,2654,26,934,10,0,1,1
30,2017-04-04,07:42:00,07:44:00,0 days 00:02:00.000000000,3,2,2,4,2,5,2886,26,803,8,0,1,1
23,2018-01-08,06:37:00,06:38:00,0 days 00:01:00.000000000,0,3,2,10,2,8,5410,29,4026,8,0,1,1
23,2018-01-24,06:15:00,07:31:00,0 days 01:16:00.000000000,0,3,2,4,2,2,6910,9,2692,1,0,1,1
15,2016-05-19,07:29:00,07:32:00,0 days 00:03:00.000000000,17,1,2,7,2,8,4602,6,2249,8,0,1,1
45,2016-10-28,06:38:00,06:40:00,0 days 00:02:00.000000000,1,2,2,4,2,3,760,39,6917,8,0,1,1
12,2017-05-19,17:05:00,17:07:00,0 days 00:02:00.000000000,0,2,2,4,2,2,7492,18,6391,7,1,1,1
20,2015-12-01,07:19:00,07:20:00,0 days 00:01:00.000000000,3,1,2,4,2,5,3501,26,909,8,0,1,1
30,2017-06-06,07:27:00,07:28:00,0 days 00:01:00.000000000,1,2,1,4,2,2,91,18,6180,4,0,1,1
15,2015-10-14,07:20:00,07:27:00,0 days 00:07:00.000000000,1,1,2,7,2,6,3947,10,4145,8,0,1,1
23,2018-11-19,14:30:00,14:42:00,0 days 00:12:00.000000000,27,4,2,1,2,2,7880,19,2538,1,0,1,1
12,2017-05-19,07:47:00,07:48:00,0 days 00:01:00.000000000,3,2,2,4,2,2,7492,18,6413,8,0,1,0
10,2015-09-17,06:08:00,06:43:00,0 days 00:35:00.000000000,0,1,2,4,2,11,4342,1,833,8,1,1,1
20,2016-12-19,07:35:00,07:43:00,0 days 00:08:00.000000000,5,2,2,4,2,5,3000,26,1982,8,1,1,0
53,2019-01-18,06:28:00,06:36:00,0 days 00:08:00.000000000,0,4,1,4,2,3,58,25,4327,4,1,1,1
53,2019-01-18,07:25:00,07:28:00,0 days 00:03:00.000000000,2,4,2,4,2,11,8113,14,6649,8,1,1,1
30,2017-02-10,07:27:00,07:29:00,0 days 00:02:00.000000000,0,2,2,9,2,2,6789,43,5247,8,0,1,0
45,2017-05-10,07:48:00,07:50:00,0 days 00:02:00.000000000,0,2,2,4,2,5,3180,26,873,8,0,1,1
45,2016-01-12,07:40:00,07:56:00,0 days 00:16:00.000000000,9,1,2,4,2,3,677,39,7097,8,0,1,1
30,2016-03-31,07:49:00,07:50:00,0 days 00:01:00.000000000,4,1,1,4,2,2,196,18,5445,4,0,0,0
30,2017-01-09,06:10:00,06:26:00,0 days 00:16:00.000000000,0,2,2,4,2,3,1671,6,1444,1,0,1,1
7,2019-01-24,07:07:00,07:12:00,0 days 00:05:00.000000000,4,4,2,4,2,2,7768,18,6381,8,0,1,1
38,2019-01-22,05:48:00,05:51:00,0 days 00:03:00.000000000,0,4,2,4,2,3,1362,46,3038,8,1,1,1
60,2017-05-04,08:30:00,08:47:00,0 days 00:17:00.000000000,0,2,2,4,2,10,6283,4,3156,8,0,1,0
17,2016-10-06,08:45:00,08:52:00,0 days 00:07:00.000000000,0,2,2,7,2,3,1162,10,2787,1,0,1,0
30,2016-06-22,06:29:00,06:33:00,0 days 00:04:00.000000000,0,1,1,7,2,3,84,25,13,4,0,1,1
38,2018-01-29,06:54:00,06:55:00,0 days 00:01:00.000000000,0,3,2,4,2,5,3503,26,443,8,0,1,1
38,2017-11-16,07:40:00,07:42:00,0 days 00:02:00.000000000,9,3,2,4,2,3,988,6,2251,8,0,1,1
15,2017-03-29,06:57:00,07:05:00,0 days 00:08:00.000000000,0,2,2,4,2,2,7012,43,5076,1,0,1,0
38,2018-01-10,07:30:00,07:32:00,0 days 00:02:00.000000000,13,3,2,4,2,3,1368,11,3209,8,0,1,1
38,2017-12-15,07:41:00,07:43:00,0 days 00:02:00.000000000,4,3,2,4,2,12,6569,34,5471,8,0,1,0
38,2019-03-25,13:39:00,13:40:00,0 days 00:01:00.000000000,1,4,2,4,2,5,3749,26,817,10,0,1,1
15,2016-12-13,07:25:00,07:27:00,0 days 00:02:00.000000000,1,2,2,4,2,11,8223,14,6615,8,1,1,1
38,2019-01-15,13:58:00,13:59:00,0 days 00:01:00.000000000,0,4,2,4,2,5,3481,26,959,10,0,1,1
38,2018-10-25,05:55:00,05:55:00,0 days 00:00:00.000000000,0,4,2,4,2,5,3390,26,1654,8,0,1,1
23,2018-11-20,14:20:00,14:35:00,0 days 00:15:00.000000000,0,4,2,4,2,8,5206,21,575,10,0,1,1
53,2018-12-11,06:11:00,06:11:00,0 days 00:00:00.000000000,0,4,2,4,2,5,3326,26,866,8,0,1,1
53,2019-01-03,06:59:00,07:00:00,0 days 00:01:00.000000000,0,4,2,6,2,12,6601,52,893,8,1,1,1
12,2016-12-06,15:55:00,15:56:00,0 days 00:01:00.000000000,0,2,1,4,2,2,70,18,6175,4,1,1,1
38,2018-10-18,07:40:00,07:45:00,0 days 00:05:00.000000000,5,4,2,4,2,2,7336,13,3311,8,0,1,1
75,2019-03-18,14:26:00,14:28:00,0 days 00:02:00.000000000,0,4,2,6,2,6,3905,26,3072,10,0,1,1
15,2016-03-08,14:10:00,14:26:00,0 days 00:16:00.000000000,0,1,2,4,2,3,1397,10,3538,10,0,1,1
20,2017-05-16,06:36:00,06:37:00,0 days 00:01:00.000000000,0,2,2,4,2,5,3491,26,3153,8,0,1,1
30,2016-12-08,07:21:00,07:23:00,0 days 00:02:00.000000000,5,2,2,4,2,3,1000,39,7019,8,0,1,1
38,2018-10-01,14:10:00,14:10:00,0 days 00:00:00.000000000,0,4,2,4,2,5,3830,26,985,10,0,1,1
27,2016-02-04,07:10:00,07:20:00,0 days 00:10:00.000000000,4,1,2,4,2,5,3099,13,4705,8,1,1,1
75,2018-10-03,07:31:00,07:32:00,0 days 00:01:00.000000000,4,4,1,4,2,2,492,48,652,4,0,1,0
20,2017-04-03,11:21:00,11:23:00,0 days 00:02:00.000000000,3,2,1,4,2,2,96,18,756,4,0,1,1
20,2016-11-22,07:50:00,08:02:00,0 days 00:12:00.000000000,8,2,2,7,2,3,1429,57,5684,8,0,1,0
53,2019-03-25,06:01:00,06:02:00,0 days 00:01:00.000000000,0,4,2,4,2,5,2933,26,1553,8,0,1,1
17,2017-08-02,08:05:00,08:07:00,0 days 00:02:00.000000000,6,3,1,4,2,2,211,18,3612,4,0,0,0
25,2015-12-07,07:38:00,07:39:00,0 days 00:01:00.000000000,5,1,1,7,2,2,35,18,4284,4,0,1,1
38,2019-03-25,14:03:00,14:04:00,0 days 00:01:00.000000000,0,4,2,4,2,8,4512,46,4623,10,1,1,1
45,2015-12-16,14:22:00,14:23:00,0 days 00:01:00.000000000,3,1,2,4,2,3,2566,20,5243,10,0,1,1
75,2019-01-04,07:00:00,07:47:00,0 days 00:47:00.000000000,0,4,2,7,2,8,5281,29,1543,8,0,0,0
23,2018-09-28,06:38:00,06:40:00,0 days 00:02:00.000000000,0,4,2,4,2,12,6684,55,2432,8,1,1,1
38,2018-11-20,07:51:00,07:53:00,0 days 00:02:00.000000000,3,4,2,4,2,5,3429,46,3933,8,1,1,1
38,2018-11-07,13:41:00,13:44:00,0 days 00:03:00.000000000,1,4,2,4,2,5,3810,26,670,10,0,1,1
30,2016-07-08,07:48:00,07:50:00,0 days 00:02:00.000000000,2,2,2,7,2,8,5519,44,5089,8,0,1,1
38,2018-09-27,06:52:00,06:54:00,0 days 00:02:00.000000000,0,4,2,4,2,5,3784,46,1145,8,1,1,1
38,2017-12-14,07:54:00,07:55:00,0 days 00:01:00.000000000,3,3,2,4,2,12,6479,34,2417,8,0,0,0
23,2018-05-30,14:50:00,14:52:00,0 days 00:02:00.000000000,0,3,2,7,2,8,5642,43,2181,1,0,1,0
53,2018-12-12,06:37:00,06:38:00,0 days 00:01:00.000000000,0,4,2,4,2,5,3775,26,1055,8,0,1,1
38,2018-04-16,06:50:00,06:55:00,0 days 00:05:00.000000000,5,3,2,4,2,3,988,6,2251,8,0,1,1
30,2016-05-13,06:45:00,07:00:00,0 days 00:15:00.000000000,0,1,2,7,2,3,645,39,7048,8,0,0,0
38,2018-05-16,14:06:00,14:07:00,0 days 00:01:00.000000000,0,3,2,4,2,5,3286,26,1232,10,0,1,1
75,2019-03-15,07:03:00,07:04:00,0 days 00:01:00.000000000,2,4,1,4,2,2,236,48,249,4,0,1,1
7,2019-02-11,07:37:00,07:40:00,0 days 00:03:00.000000000,9,4,2,4,2,2,7187,55,2508,8,1,1,1
38,2018-10-31,06:33:00,06:34:00,0 days 00:01:00.000000000,0,4,2,4,2,5,3481,26,959,8,0,1,1
10,2017-02-10,07:30:00,07:48:00,0 days 00:18:00.000000000,9,2,1,4,2,2,3853,14,2569,4,0,1,1
23,2018-10-12,08:07:00,08:09:00,0 days 00:02:00.000000000,5,4,1,4,2,2,35,18,814,4,0,1,1
